,the weight of the stock-picking concept,,,,,,the original investment performance indicator,,,,,,the normalized  investment performance indicator,,,,,
37,0.000,0.000,0.333,0.333,0.000,0.333,23.98%,1.50%,1.03542344088605,7.93%,75.00%,60.00%,0.556,0.616,0.438,0.659,0.440,0.500
38,0.333,0.000,0.000,0.000,0.333,0.333,25.08%,2.02%,0.944525367918216,6.48%,85.00%,60.00%,0.605,0.703,0.352,0.459,0.680,0.500
39,0.000,0.333,0.000,0.000,0.333,0.333,22.41%,-0.08%,1.32243611708652,7.03%,70.00%,70.00%,0.486,0.351,0.711,0.534,0.320,0.650
40,0.000,0.000,0.333,0.000,0.333,0.333,22.82%,1.58%,0.94028794365477,6.89%,80.00%,55.00%,0.504,0.629,0.348,0.515,0.560,0.425
41,0.000,0.000,0.000,0.333,0.333,0.333,15.95%,-0.87%,1.1778657534151,7.36%,65.00%,50.00%,0.200,0.218,0.573,0.580,0.200,0.350
42,0.250,0.250,0.250,0.250,0.000,0.000,26.67%,1.89%,1.06778241495105,7.31%,75.00%,65.00%,0.675,0.682,0.469,0.573,0.440,0.575
43,0.250,0.250,0.250,0.000,0.250,0.000,25.00%,1.31%,1.10571205592423,6.13%,85.00%,65.00%,0.601,0.585,0.505,0.411,0.680,0.575
44,0.250,0.250,0.000,0.250,0.250,0.000,20.38%,0.34%,1.09908097595925,5.81%,70.00%,60.00%,0.396,0.421,0.499,0.366,0.320,0.500
45,0.250,0.000,0.250,0.250,0.250,0.000,22.40%,1.87%,0.831234362982992,5.41%,80.00%,60.00%,0.486,0.678,0.245,0.311,0.560,0.500
46,0.000,0.250,0.250,0.250,0.250,0.000,20.79%,0.34%,1.12619405623448,6.31%,80.00%,70.00%,0.414,0.422,0.524,0.435,0.560,0.650
47,0.250,0.250,0.250,0.000,0.000,0.250,28.35%,2.35%,1.04516309197912,7.59%,80.00%,55.00%,0.749,0.759,0.448,0.612,0.560,0.425
48,0.250,0.250,0.000,0.250,0.000,0.250,26.07%,2.17%,0.964960025148597,6.86%,80.00%,65.00%,0.649,0.729,0.371,0.511,0.560,0.575
49,0.250,0.000,0.250,0.250,0.000,0.250,23.69%,1.98%,0.89863075154618,7.56%,80.00%,65.00%,0.543,0.697,0.309,0.607,0.560,0.575
50,0.000,0.250,0.250,0.250,0.000,0.250,27.88%,2.02%,1.10937735969351,7.96%,85.00%,70.00%,0.729,0.704,0.508,0.663,0.680,0.650
51,0.250,0.250,0.000,0.000,0.250,0.250,26.05%,1.76%,1.04847813340484,5.79%,90.00%,75.00%,0.648,0.660,0.451,0.364,0.800,0.725
52,0.250,0.000,0.250,0.000,0.250,0.250,26.10%,2.26%,0.940957638434705,6.74%,85.00%,65.00%,0.650,0.744,0.349,0.495,0.680,0.575
53,0.000,0.250,0.250,0.000,0.250,0.250,24.83%,0.98%,1.19160037069108,7.08%,80.00%,60.00%,0.593,0.528,0.586,0.542,0.560,0.500
54,0.250,0.000,0.000,0.250,0.250,0.250,19.38%,1.39%,0.784163442238522,5.00%,80.00%,55.00%,0.352,0.598,0.200,0.255,0.560,0.425
55,0.000,0.250,0.000,0.250,0.250,0.250,22.37%,-0.00%,1.31477580349665,7.73%,75.00%,70.00%,0.484,0.363,0.703,0.631,0.440,0.650
56,0.000,0.000,0.250,0.250,0.250,0.250,20.58%,1.24%,0.899535387228409,6.50%,80.00%,50.00%,0.405,0.573,0.309,0.461,0.560,0.350
57,0.200,0.200,0.200,0.200,0.200,0.000,23.24%,1.40%,0.991586187605167,5.78%,80.00%,65.00%,0.523,0.600,0.397,0.362,0.560,0.575
58,0.200,0.200,0.200,0.200,0.000,0.200,27.36%,2.59%,0.933934700048325,7.34%,80.00%,60.00%,0.705,0.800,0.342,0.577,0.560,0.500
59,0.200,0.200,0.200,0.000,0.200,0.200,27.65%,2.05%,1.06943441910604,6.60%,80.00%,65.00%,0.719,0.708,0.471,0.475,0.560,0.575
60,0.200,0.200,0.000,0.200,0.200,0.200,23.07%,1.16%,1.04368419794708,6.05%,80.00%,70.00%,0.516,0.560,0.446,0.399,0.560,0.650
61,0.200,0.000,0.200,0.200,0.200,0.200,23.47%,2.29%,0.794886765926057,6.29%,80.00%,55.00%,0.533,0.749,0.210,0.432,0.560,0.425
62,0.000,0.200,0.200,0.200,0.200,0.200,24.29%,1.13%,1.12511412177859,6.77%,80.00%,80.00%,0.570,0.553,0.523,0.498,0.560,0.800
63,0.167,0.167,0.167,0.167,0.167,0.167,24.16%,1.82%,0.941707523942642,6.07%,80.00%,70.00%,0.564,0.670,0.349,0.403,0.560,0.650
