,the weight of the stock-picking concept,,,,,,the original investment performance indicator,,,,,,the normalized  investment performance indicator,,,,,
11,0.000,0.500,0.000,0.500,0.000,0.000,22.03%,-0.99%,1.2948600557805,12.81%,65.00%,40.00%,0.800,0.618,0.686,0.544,0.457,0.600
12,0.000,0.000,0.500,0.500,0.000,0.000,11.82%,-2.19%,1.05491561523588,10.72%,65.00%,25.00%,0.392,0.399,0.496,0.397,0.457,0.300
13,0.500,0.000,0.000,0.000,0.500,0.000,12.10%,-0.71%,0.739862524600847,8.05%,70.00%,25.00%,0.403,0.669,0.247,0.208,0.543,0.300
14,0.000,0.500,0.000,0.000,0.500,0.000,18.26%,-1.17%,1.1024392488103,8.95%,65.00%,45.00%,0.649,0.584,0.534,0.272,0.457,0.700
15,0.000,0.000,0.500,0.000,0.500,0.000,13.72%,-1.44%,0.96412601811546,9.05%,65.00%,30.00%,0.468,0.535,0.424,0.278,0.457,0.400
16,0.000,0.000,0.000,0.500,0.500,0.000,18.55%,-1.47%,1.21266136040627,11.43%,75.00%,25.00%,0.661,0.529,0.621,0.447,0.629,0.300
17,0.500,0.000,0.000,0.000,0.000,0.500,7.01%,-1.83%,0.746329999703915,9.37%,55.00%,30.00%,0.200,0.465,0.252,0.301,0.286,0.400
18,0.000,0.500,0.000,0.000,0.000,0.500,15.30%,-1.47%,1.06262868929149,10.48%,60.00%,40.00%,0.531,0.529,0.502,0.380,0.371,0.600
19,0.000,0.000,0.500,0.000,0.000,0.500,8.86%,-2.63%,1.01274070355523,10.93%,55.00%,30.00%,0.274,0.319,0.463,0.412,0.286,0.400
20,0.000,0.000,0.000,0.500,0.000,0.500,15.47%,-1.62%,1.18198559660819,14.43%,60.00%,40.00%,0.538,0.503,0.597,0.659,0.371,0.600
21,0.000,0.000,0.000,0.000,0.500,0.500,13.27%,-2.04%,1.05664430620391,8.96%,65.00%,30.00%,0.450,0.426,0.497,0.272,0.457,0.400
22,0.333,0.333,0.333,0.000,0.000,0.000,11.77%,-1.33%,0.87802061559013,10.22%,60.00%,35.00%,0.390,0.556,0.356,0.361,0.371,0.500
23,0.333,0.333,0.000,0.333,0.000,0.000,16.66%,-0.32%,0.891597203642691,9.91%,65.00%,35.00%,0.586,0.740,0.367,0.339,0.457,0.500
24,0.333,0.000,0.333,0.333,0.000,0.000,10.90%,-1.32%,0.833827479498978,9.94%,65.00%,25.00%,0.355,0.557,0.321,0.341,0.457,0.300
25,0.000,0.333,0.333,0.333,0.000,0.000,17.45%,-0.91%,1.04933835280926,10.59%,65.00%,35.00%,0.617,0.632,0.492,0.387,0.457,0.500
26,0.333,0.333,0.000,0.000,0.333,0.000,13.65%,-0.79%,0.824096842312878,8.16%,70.00%,35.00%,0.465,0.654,0.313,0.216,0.543,0.500
27,0.333,0.000,0.333,0.000,0.333,0.000,11.75%,-1.67%,0.93617761010595,9.86%,65.00%,25.00%,0.389,0.493,0.402,0.336,0.457,0.300
28,0.000,0.333,0.333,0.000,0.333,0.000,14.12%,-1.72%,1.03799842883997,9.31%,65.00%,30.00%,0.484,0.484,0.483,0.297,0.457,0.400
29,0.333,0.000,0.000,0.333,0.333,0.000,12.30%,-0.70%,0.746758539131361,8.00%,70.00%,30.00%,0.412,0.670,0.252,0.205,0.543,0.400
30,0.000,0.333,0.000,0.333,0.333,0.000,20.28%,-1.30%,1.24483866329054,11.00%,75.00%,40.00%,0.730,0.561,0.646,0.417,0.629,0.600
31,0.000,0.000,0.333,0.333,0.333,0.000,12.18%,-1.84%,0.973875915463223,8.96%,60.00%,30.00%,0.407,0.462,0.432,0.272,0.371,0.400
32,0.333,0.333,0.000,0.000,0.000,0.333,12.16%,-0.80%,0.78439633911899,9.56%,70.00%,35.00%,0.406,0.651,0.282,0.314,0.543,0.500
33,0.333,0.000,0.333,0.000,0.000,0.333,7.10%,-2.55%,0.91337224407955,10.77%,50.00%,35.00%,0.204,0.334,0.384,0.400,0.200,0.500
34,0.000,0.333,0.333,0.000,0.000,0.333,14.94%,-1.42%,1.04190829067855,10.69%,60.00%,40.00%,0.517,0.539,0.486,0.395,0.371,0.600
35,0.333,0.000,0.000,0.333,0.000,0.333,11.51%,-0.96%,0.780742222435431,9.24%,60.00%,35.00%,0.380,0.623,0.279,0.292,0.371,0.500
36,0.000,0.333,0.000,0.333,0.000,0.333,19.47%,-0.81%,1.13342242514908,11.60%,65.00%,40.00%,0.698,0.650,0.558,0.459,0.457,0.600
37,0.000,0.000,0.333,0.333,0.000,0.333,14.04%,-1.57%,1.03865808765484,11.00%,60.00%,35.00%,0.481,0.512,0.483,0.417,0.371,0.500
38,0.333,0.000,0.000,0.000,0.333,0.333,9.95%,-1.08%,0.725620036282203,8.68%,65.00%,30.00%,0.317,0.600,0.235,0.252,0.457,0.400
39,0.000,0.333,0.000,0.000,0.333,0.333,17.67%,-1.54%,1.15966514835343,9.71%,65.00%,50.00%,0.626,0.517,0.579,0.326,0.457,0.800
40,0.000,0.000,0.333,0.000,0.333,0.333,10.75%,-2.32%,1.02353222142843,10.26%,60.00%,30.00%,0.350,0.375,0.471,0.364,0.371,0.400
41,0.000,0.000,0.000,0.333,0.333,0.333,19.03%,-1.78%,1.33260004815273,13.56%,60.00%,35.00%,0.680,0.473,0.716,0.598,0.371,0.500
42,0.250,0.250,0.250,0.250,0.000,0.000,13.70%,-1.03%,0.900159240861221,9.88%,65.00%,30.00%,0.467,0.610,0.374,0.337,0.457,0.400
43,0.250,0.250,0.250,0.000,0.250,0.000,12.80%,-1.16%,0.874285704241262,9.20%,65.00%,35.00%,0.432,0.586,0.353,0.290,0.457,0.500
44,0.250,0.250,0.000,0.250,0.250,0.000,17.23%,-0.59%,0.952110264178381,9.05%,70.00%,35.00%,0.608,0.690,0.415,0.278,0.543,0.500
45,0.250,0.000,0.250,0.250,0.250,0.000,10.14%,-1.54%,0.82174432234448,8.64%,60.00%,25.00%,0.325,0.517,0.311,0.249,0.371,0.300
46,0.000,0.250,0.250,0.250,0.250,0.000,17.78%,-1.43%,1.14913488514914,10.02%,60.00%,40.00%,0.630,0.538,0.571,0.347,0.371,0.600
47,0.250,0.250,0.250,0.000,0.000,0.250,11.99%,-1.28%,0.88630861495049,10.61%,60.00%,35.00%,0.399,0.564,0.363,0.389,0.371,0.500
48,0.250,0.250,0.000,0.250,0.000,0.250,16.21%,0.02%,0.801211447249687,9.42%,65.00%,45.00%,0.568,0.800,0.295,0.305,0.457,0.700
49,0.250,0.000,0.250,0.250,0.000,0.250,10.36%,-1.66%,0.885673561661748,10.58%,50.00%,25.00%,0.334,0.496,0.362,0.387,0.200,0.300
50,0.000,0.250,0.250,0.250,0.000,0.250,15.67%,-1.20%,1.03281216919258,10.67%,65.00%,35.00%,0.546,0.578,0.479,0.393,0.457,0.500
51,0.250,0.250,0.000,0.000,0.250,0.250,13.89%,-0.70%,0.836850998385763,9.44%,75.00%,40.00%,0.475,0.670,0.323,0.306,0.629,0.600
52,0.250,0.000,0.250,0.000,0.250,0.250,10.03%,-1.96%,0.919782099694458,10.15%,65.00%,35.00%,0.321,0.442,0.389,0.356,0.457,0.500
53,0.000,0.250,0.250,0.000,0.250,0.250,14.98%,-1.36%,1.01420285374127,9.70%,65.00%,45.00%,0.518,0.550,0.464,0.325,0.457,0.700
54,0.250,0.000,0.000,0.250,0.250,0.250,13.06%,-0.79%,0.804670862365341,8.54%,65.00%,20.00%,0.442,0.653,0.298,0.242,0.457,0.200
55,0.000,0.250,0.000,0.250,0.250,0.250,21.92%,-0.51%,1.16365777670092,11.04%,65.00%,40.00%,0.796,0.704,0.582,0.419,0.457,0.600
56,0.000,0.000,0.250,0.250,0.250,0.250,12.48%,-1.66%,0.96274753765473,9.55%,65.00%,35.00%,0.419,0.495,0.423,0.314,0.457,0.500
57,0.200,0.200,0.200,0.200,0.200,0.000,13.87%,-1.06%,0.902265557095482,9.29%,70.00%,30.00%,0.474,0.604,0.375,0.296,0.543,0.400
58,0.200,0.200,0.200,0.200,0.000,0.200,14.11%,-0.90%,0.895338519091244,10.04%,60.00%,30.00%,0.484,0.634,0.370,0.348,0.371,0.400
59,0.200,0.200,0.200,0.000,0.200,0.200,11.64%,-1.55%,0.91270622447465,10.11%,70.00%,40.00%,0.385,0.516,0.383,0.354,0.543,0.600
60,0.200,0.200,0.000,0.200,0.200,0.200,16.06%,-0.72%,0.930771321318357,9.20%,70.00%,40.00%,0.562,0.666,0.398,0.289,0.543,0.600
61,0.200,0.000,0.200,0.200,0.200,0.200,11.47%,-1.31%,0.85312155416401,9.71%,55.00%,30.00%,0.378,0.558,0.336,0.325,0.286,0.400
62,0.000,0.200,0.200,0.200,0.200,0.200,17.03%,-1.30%,1.09642607605322,10.05%,65.00%,30.00%,0.600,0.561,0.529,0.349,0.457,0.400
63,0.167,0.167,0.167,0.167,0.167,0.167,13.73%,-1.11%,0.910100800805274,9.50%,70.00%,35.00%,0.469,0.595,0.381,0.311,0.543,0.500
