,the weight of the stock-picking concept,,,,,,the original investment performance indicator,,,,,,the normalized  investment performance indicator,,,,,
54,0.250,0.000,0.000,0.250,0.250,0.250,16.67%,4.54%,1.06851009380207,11.76%,70.00%,70.00%,0.540,0.541,0.372,0.435,0.543,0.500
55,0.000,0.250,0.000,0.250,0.250,0.250,10.98%,3.10%,1.01362853110589,10.42%,55.00%,75.00%,0.429,0.419,0.326,0.331,0.286,0.575
56,0.000,0.000,0.250,0.250,0.250,0.250,19.19%,5.17%,1.13350154793691,12.41%,65.00%,75.00%,0.589,0.594,0.427,0.486,0.457,0.575
57,0.200,0.200,0.200,0.200,0.200,0.000,24.23%,6.03%,0.975507153222619,10.42%,80.00%,85.00%,0.687,0.667,0.295,0.331,0.714,0.725
58,0.200,0.200,0.200,0.200,0.000,0.200,26.76%,6.74%,1.01917258093504,12.09%,75.00%,85.00%,0.736,0.726,0.331,0.461,0.629,0.725
59,0.200,0.200,0.200,0.000,0.200,0.200,27.64%,6.91%,1.08058288337879,12.03%,75.00%,85.00%,0.754,0.741,0.382,0.456,0.629,0.725
60,0.200,0.200,0.000,0.200,0.200,0.200,19.50%,4.96%,0.908428925643007,9.80%,80.00%,85.00%,0.595,0.576,0.239,0.282,0.714,0.725
61,0.200,0.000,0.200,0.200,0.200,0.200,24.20%,6.28%,1.14972987871062,12.73%,75.00%,75.00%,0.687,0.687,0.440,0.511,0.629,0.575
62,0.000,0.200,0.200,0.200,0.200,0.200,20.01%,5.13%,0.99765594882205,10.54%,70.00%,90.00%,0.605,0.591,0.313,0.341,0.543,0.800
63,0.167,0.167,0.167,0.167,0.167,0.167,26.69%,6.63%,0.998147585233246,11.20%,80.00%,85.00%,0.735,0.717,0.314,0.392,0.714,0.725
